Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0,17.0981
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0,6.2566
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0,298.6855
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0,52.14
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0,15552
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7098
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0,6.9888
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30,2,0,3.3
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16362
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0,0.84
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0,6.1512
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25824,6,0.2,9.3612
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0,68.9631
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0,22.3328
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213115,5,0.3,-15.2225
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113024,8,0.2,111.3024
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167968,4,0.2,62988
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0,35.6636
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4616,1,0.2,1731
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0,8763
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831936,8,0.2,-114.3912
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1213
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72784,1,0.2,-18196
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1248,3,0.8,-1.9344
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9708,3,0.6,-5.8248
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2724
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14475
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0,56.2032
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0,8.0352
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0,4172
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0,6.2031
Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200984,7,0.2,62.8075
First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230376,3,0.2,-48.9549
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0,33.2156
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0,6.7966
Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0,2.9568
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158368,7,0.2,13.8572
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0,6633
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73584,2,0.2,8.2782
Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0,3.1104
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0,6.2208
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0,16.5354
Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0,16.1504
Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5682,1,0.7,-3788
Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0,40.5426
First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51312,3,0.2,17.9592
Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0,22.5852
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64624,7,0.2,22.6184
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95976,3,0.2,-10.7973
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1788,3,0.8,-3.0396
Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0,11.7208
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238896,6,0.2,-26.8758
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385
Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36882,3,0.7,-25.8174
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74112,8,0.2,17.6016
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27992,1,0.2,2.0994
Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3304,1,0.2,1.0738
Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67992
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0,10.9096
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0,22788
Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0,13.3476
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40096,14,0.2,14.5348
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1652
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23976,3,0.2,7.4925
Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130464,6,0.2,44.0316
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0,165.3813
Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157794,1,0.7,-115.7156
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0,18.3456
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0,13878
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0,63.4368
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0,51759
First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0,19.7316
Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600558,3,0.3,-8.5794
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407682
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2388,2,0.7,-1.8308
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243992,7,0.2,30499
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81424,2,0.2,-9.1602
Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0,26.2416
First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11994
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78304,2,0.2,29364
First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21456,9,0.2,6.9732
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0,9.6192
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0,16.6568
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0,3456
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0,1.9698
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76176,3,0.2,26.6616
Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0,18.4464
Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0,20.6976
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0,2.3814
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0,5.1042
Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0,68976
Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0,218.2518
Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0,20.1579
Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93888,4,0.2,12.9096
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0,103.8015
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0,5.9988
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0,585552
Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0,80.6285
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17766
First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203184,2,0.2,15.2388
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0,26271
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0,48.5392
First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0,21.0288
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0,1.7901
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,457568,2,0.2,51.4764
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,14.62,2,0,6.8714
Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,944.93,7,0,236.2325
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,5.98,1,0,2691
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,54384,2,0.2,1.3596
Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,28.4,5,0,13348
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,27.68,2,0.2,9688
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,9936,3,0.2,2.7324
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,8159952,8,0.4,-1359992
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,275928,3,0.2,-58.6347
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,1740.06,9,0.3,-24858
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,32064,6,0.2,6.8136
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,177.98,5,0.8,-453849
Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,143976,3,0.2,8.9985
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,20.94,3,0,9.8418
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,110.96,2,0,53.2608
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,340144,7,0.2,21259
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,52448,2,0.8,-131.12
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,20.16,4,0.2,6552
Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,97264,4,0.8,-243.16
Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,396802,7,0.3,-11.3372
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,15.88,5,0.2,-3.7715
Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,3.28,1,0,1.4104
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,24816,2,0.2,1.8612
Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,408744,7,0.2,76.6395
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,503.96,4,0,131.0296
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,149.95,5,0,41986
Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,29,2,0,7.25
Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,7.16,2,0,3.4368
Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,176.8,8,0,22984
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,37224,3,0.2,3.7224
Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,20016,3,0.2,6255
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,899136,4,0.2,112392
First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,71.76,6,0,20.0928
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,51.84,8,0,24.8832
First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,626352,3,0.2,46.9764
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Art,19.9,5,0,6567
Standard Class,Corporate,United States,Redlands,California,92374,West,Office Supplies,Envelopes,14.28,7,0,6.7116
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,7408,2,0.2,1.2038
Standard Class,Consumer,United States,Hamilton,Ohio,45011,East,Office Supplies,Art,6048,3,0.2,1.5876
Standard Class,Home Office,United States,Westfield,New Jersey,7090,East,Office Supplies,Storage,46.26,3,0,12.0276
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,2946,2,0.7,-2.2586
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,16056,3,0.2,5.8203
Standard Class,Consumer,United States,Akron,Ohio,44312,East,Office Supplies,Paper,21744,3,0.2,6795
First Class,Consumer,United States,Denver,Colorado,80219,West,Furniture,Tables,218.75,2,0.5,-161875
First Class,Consumer,United States,Denver,Colorado,80219,West,Office Supplies,Appliances,2.6,1,0.2,0.2925
Second Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,66284,2,0.8,-178.9668
Standard Class,Corporate,United States,Franklin,Tennessee,37064,South,Furniture,Furnishings,35168,7,0.2,9.6712
Standard Class,Consumer,United States,Whittier,California,90604,West,Technology,Phones,444768,4,0.2,44.4768
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,83.92,4,0,5.8744
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Technology,Phones,131.98,2,0,35.6346
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Binders,15.92,4,0,7.4824
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Fasteners,52.29,9,0,16.2099
Standard Class,Consumer,United States,Saginaw,Michigan,48601,Central,Office Supplies,Storage,91.99,1,0,3.6796
Second Class,Corporate,United States,Dallas,Texas,75220,Central,Technology,Accessories,20.8,2,0.2,6.5
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Office Supplies,Labels,23.68,2,0.2,8.88
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Furniture,Bookcases,452.45,5,0.5,-244323
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Phones,62982,3,0.4,-14.6958
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Machines,1188,9,0.7,-950.4
Standard Class,Corporate,United States,Medina,Ohio,44256,East,Technology,Accessories,89584,2,0.2,4.4792
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Storage,93.06,6,0,26.0568
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,302376,3,0.2,22.6782
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Fasteners,5584,2,0.2,1.8148
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Paper,22704,6,0.2,8.2302
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Binders,19776,4,0.7,-13.8432
First Class,Consumer,United States,Dublin,Ohio,43017,East,Furniture,Furnishings,72704,4,0.2,19.0848
First Class,Consumer,United States,Dublin,Ohio,43017,East,Technology,Machines,479988,4,0.7,-383.9904
First Class,Consumer,United States,Dublin,Ohio,43017,East,Office Supplies,Art,27168,2,0.2,2.7168
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,2.2,1,0,968
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Furniture,Tables,622.45,5,0,136939
Standard Class,Corporate,United States,Detroit,Michigan,48227,Central,Office Supplies,Storage,21.98,1,0,0.2198
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,161568,2,0.2,-28.2744
Standard Class,Consumer,United States,Columbia,Tennessee,38401,South,Furniture,Chairs,389696,8,0.2,43.8408
Standard Class,Corporate,United States,Charlotte,North Carolina,28205,South,Office Supplies,Binders,18648,7,0.7,-12432
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,233.86,2,0.45,-102048
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Tables,620.6145,3,0.45,-248.2458
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Office Supplies,Binders,5328,2,0.7,-3552
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Furniture,Furnishings,258072,3,0.2,0
Standard Class,Home Office,United States,Tampa,Florida,33614,South,Technology,Accessories,617976,3,0.2,-7.7247
Standard Class,Corporate,United States,Santa Clara,California,95051,West,Office Supplies,Paper,10.56,2,0,4752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,25.92,5,0.2,9396
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,419.68,5,0.6,-356728
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,11688,3,0.6,-4.6752
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,31984,2,0.2,11.1944
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Tables,177225,5,0.5,-120513
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,4044,3,0.6,-2.8308
Second Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,7408,2,0.2,1.2038
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,2001.86,7,0,580.5394
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Storage,166.72,2,0,41.68
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.88,6,0,23.94
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,1503.25,5,0,496.0725
Second Class,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,25.92,4,0,12.4416
Second Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Chairs,321568,2,0.2,28.1372
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Paper,7.61,1,0,3.5767
Standard Class,Consumer,United States,San Diego,California,92037,West,Technology,Accessories,3347.37,13,0,636.0003
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Storage,80.58,6,0,22.5624
First Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Envelopes,361.92,4,0,162864
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Furnishings,12132,9,0.6,-8.4924
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,82368,2,0.2,-19.5624
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,53.92,5,0.2,4044
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Phones,647904,6,0.2,56.6916
Second Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,20.37,3,0,6.9258
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Storage,221.55,3,0,6.6465
Second Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,17.52,5,0.2,6132
Standard Class,Corporate,United States,Pasadena,Texas,77506,Central,Office Supplies,Appliances,1624,2,0.8,-4466
Second Class,Corporate,United States,Houston,Texas,77036,Central,Technology,Machines,3059982,3,0.4,-509997
Second Class,Corporate,United States,Houston,Texas,77036,Central,Technology,Machines,2519958,7,0.4,-251.9958
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Technology,Phones,328224,4,0.2,28.7196
